"mean_cycles","x1","x2","x3","x4","x5","x6","x7","x8","x9","x10","x11","x12","x13","x14","x15","x16","x17","x18","x19","x20","x21","x22","x23","x24","x25","x26","y1","y2"
1568800186.2,3905995,6600,4242641,522201765,231881,339604983,182059357,731306516,1862,1136602,1881808,13192,100597,2153731,522389032,368435458,6614460,15764543,3280751,1992264,17962154,784306715,13122493,6028436,121277,273,0.658276,0.338554
1593788613.4,9180130,5867,3670476,528877206,215722,350582048,44141734,442313574,1915,663154,1179415,13625,92378,1287586,305827610,221653357,13521384,30782013,8000324,4504472,44129760,793207353,32000187,12027528,118299,275,0.663313,0.270007
1577875682,30517459.5,1501,14838374,352315166,998.5,301500985.5,40077095,401614575.5,1859,630409,1121862,13100,87953,1205934,279724892,202819656.5,12473652,40678059.5,1750861.5,14946.5,7331540.5,789017779,7003127,1463142.5,38281,272.5,10.336767,20.524424
1702786369.8,24957048.5,11142.5,8119415,528324922,340881.5,371112999,166580837.5,789152637.5,1912,1052796.5,1759199,13324.5,94303,1946503,504358470,356964682,18471588.5,58697739,11699177.5,6715564,63251489.5,854336105.5,46802632.5,16527013.5,99148,297.5,0.097606,1.44925
1555933825.6,1262095,10045,1995848,515617177,438508,330739786,183728600,718491171,1883,1158574,1918261,13359,92420,2194526,510074807,359072255,1617001,4602947,131054,73751,655175,779814026,524040,199008,124729,269,0.643761,0.455409
1752984988.4,33706428,10843,6323628,559741768,298987,406082696,137218803,706643199,1911,962521,1622914,13265,94017,1896780,526114359,373051692,21014929,67450508,11729405,8380206,65170236,881375523,46927497,15406873,84447,299,0.850438,0.185834
1651728456.4,33934272,10784.5,5477501.5,537659810,257169.5,396140618.5,23366215,234547208.5,1907.5,641863,1146541.5,13534.5,94376.5,1849873.5,540184903.5,383780027.5,20466985.5,21099387.5,3155177,16852.5,14196290.5,797873873,12620295,14256172.5,92030.5,294,0.075282,1.388766
1563854288.8,2708644,11407,4011137,523094468,439436,339668549,180778333,722530122,1879,1144070,1896127,13345,93843,2183591,525714485,369764124,3605183,10020940,1667663,1417835,9987184,784997897,6670031,647128,124429,279,0.653032,1.40098
1557093092.2,3182112,11452,3905666,522534604,429056,338760745,180403867,718975773,1889,1148550,1903900,13405,92501,2187522,522056903,367354416,3586781,10477231,2052793,1847052,11311752,772937081,8210560,2933401,121285,268,0.609184,1.412123
1592289120.6,9494073,12230,7411604,533695326,435166,355247615,178527565,751095502,1889,1124094,1864644,13300,96383,2124964,525664069,371263204,11967890,30471534,7650261,5144277,42326788,794033726,30600235,9182517,118048,287,0.66455,1.433835
1549941695.1,40872281,1191,1035326.5,434460169.5,1112.5,334678579,93590894.5,785891324.5,1880,893628,1521864.5,13337.5,92749.5,1715642,411468604,397502074.5,90604.5,35181751.5,17780,5273,106879.5,783152596,70834,54173.5,51403.5,265,1.160132,0.316139
1543146882.6,41094572,1143,419841,443978279,1130,343850160,100342249,859026111,1877,916770,1556583,13312,92870,1749475,443998447,429138411,48616,42664061,19604,5962,90999,771702577,78028,38536,84648,264,1.139355,0.649119
1543239394,18650974,1043.5,16079558.5,188935991.5,989,135340258,53326742.5,344036825,1832.5,667039,1174568.5,12962.5,87542.5,1339517.5,265075877,242525262,8970244.5,41061446,18265.5,5333.5,107606,771789984,72687,34474.5,45323.5,265,1.011958,3.029348
1543276511.2,40621337,1176,692958,440458502,1049,341115059,98919203,847801792,1863,905896,1538843,13217,91598,1745777,440043927,425885050,49169,41287151,19631,5837,92959,771469922,78106,12995,83511,266,0.438175,1.58372
1543188899.6,41604694,1048,2078001,429063256,1071.5,330132910.5,87235219,726169421,1880.5,869649,1485880,13341,92101.5,1668144.5,379548007,365056487.5,216284.5,42538977,19154.5,5726,120151.5,771512725.5,76186,38073.5,81840,264.5,0.989813,0.292122
1543579107.3,27889311.5,1071.5,13685243,283632625.5,1000,211026701.5,72301917.5,543340358.5,1831,746177,1293325.5,12964,87258.5,1346050.5,188500676.5,182586284.5,2419254.5,34525917,17698.5,5244.5,106008.5,771607641,70371,33683,50184,266,0.948486,4.183147
1543022160.8,32415518,1067,8719511,343804265,1087,264298451,79162280,663034685,1875,839387,1439741,13286,92089,1609270,343849114,333559058,455788,41321219,19076,5614,111334,771600614,76056,35524,71775,266,0.343224,0.202836
1547824139.2,41001207.5,1171,395657.5,442076144.5,1141,342574675.5,97441827,839369071.5,1871.5,901101.5,1531633.5,13209,92342.5,1729188.5,434333859.5,421596628.5,56009.5,33835900,17685,5312.5,107144.5,783221263,70468.5,34518,55165.5,266.5,1.144292,1.519059
1547629994.5,20249698,1054,16063947,200234650,1038,143195977,56647494.5,361695984,1846,668872,1178660,13077,88716,1302100,202789282,185145680.5,3555472.5,36301712.5,18077.5,5267,106912,771458883.5,71946,34762,45226.5,266,3.251156,1.051535
1543190570.6,23463701,1167,16462567,229522530,1062,168725057,60520477,443687183,1831,700772,1225222,12964,87270,1293030,154996938,151740183,3331665,32420978,17597,5176,105674,771417045,70167,33274,45290,265,3.957394,1.194504
1543141641.2,40754729,1111,756819,442378642,1035,341549780,100564328,848089751,1865,908974,1543480,13203,92353,1722339,425936539,409992954,62490,42328581,19416,5778,112366,771668341,77178,36482,83923,264,0.265419,1.490851
1557187965.1,30076718.5,1099.5,10530179,324738321.5,1061,248057481.5,76395972.5,623150036.5,1895.5,833312.5,1432669,13448,92994,1587199.5,319705797.5,308488732,707670,40056586.5,18552.5,5588,111007,771478394,73929.5,36924.5,69800.5,269,0.359904,0.331021
1543196192,41239697.5,1262.5,847404.5,436965904.5,1098.5,338306198.5,94096923,808462940.5,1878,895587,1524880,13318.5,91323,1702776,418104246.5,406127627.5,69313.5,42135363,19699,5939.5,115228.5,771688293,78387,26504.5,82713,269,0.273411,0.17724
1547238557.6,17296925,1118,16484038,171275153,1050,124377439,46155269,319745549,1830,665421,1172198,12968,87457,1342534,246293143,233402918,9497264,40621300,18173,5270,108284,771813042,72418,35008,45081,264,4.04069,1.240435
1543103671,28001530,1072,11991857.5,292975446.5,1076.5,224569581.5,68100294.5,566441388,1873.5,797066.5,1376305,13300,91782.5,1635348.5,386853643.5,375498727,4069774.5,43637598,19099.5,5690,114255,771634716.5,76149,35095,64983,266.5,0.994509,0.365635
